Unnamed: 0,winery,country,points,description,designation
974,Tulip Winery,Israel,90,"This wine features a bouquet of cherry, pomegranate and freshly ground black pepper. It is well-balanced on the palate with flavors of pomegranate, strawberry, mace and anise. Smooth tannins are present into the bright yet lasting finish.",Espero
975,Wedell Cellars,US,90,"The nose on this appellation blend is full of soft tones of ripe nectarine and pluot, though cut with walnut oil and a citrus edge. It's more pithy in flavor, showing orange bitters, dried apples and more nut oils, slightly oxidative in style.",
976,Winderlea,US,90,"Planted in 1988, this vineyard 's fruit captures the unique minerality found in this AVA. It leaves an impression of sucking on rock—not a bad thing in a wine. The black-cherry fruit grips the palate with real power and some density, with potent herbal highlights as well. Drink this now through the mid-2020s.",Meredith Mitchell Vineyard
977,Yatir,Israel,90,"Dark black cherry in color, this wine offers a bouquet of cherry preserves, matchstick and petrol. It is far livelier on the palate than on the nose, featuring flavors of cherry, pomegranate and bell pepper with a light touch of florality. Chewy tannins make their way across the gum and tongues and are all but erased by a final note of orange zest and cranberry.",
978,Cascina Luisin,Italy,90,"Dark berry, mocha, toast and cooking spice aromas emerge in the glass. The taut palate offers mature black cherry, coffee and dried herb alongside assertive, fine-grained tannins.",Leon
979,Azari,US,90,"Cherry-berry and vanilla surround a soft, spicy core of high-toned red fruit. Mellowed with age, the tannins linger in perceived sweetness.",
980,Borgogno Giacomo e Figli,Italy,90,"Red rose, bright berry and anisette aromas lead the way. The taut palate offers sour cherry, tobacco, clove and chopped herb alongside bracing tannins and brisk acidity.",Cannubi
981,Ca'Romè,Italy,90,"This brawny, forward wine opens with aromas that recall spirits, steeped plum, roasted coffee bean and menthol. The dense, chewy palate offers black cherry liqueur, licorice, espresso and the warmth of evident alcohol accompanied by brooding tannins. Drink sooner rather than later.",Rapet
982,Ceretto,Italy,90,"Aromas of rose, red berry, espresso, grilled herb and toast lead the nose. The taut palate offers crunchy red cherry, raspberry, star anise and white pepper alongside tightly wound, assertive tannins. It closes on a note of roasted coffee bean.",Bernardot
983,Luigi Pira,Italy,90,"Earthy aromas of leather, game, sunbaked earth and mature dark-skinned berry take center stage. The tense palate offers dried black cherry, mocha, espresso licorice and tobacco alongside fresh acidity and close-grained tannins.",Margheria
984,Reverdito,Italy,90,"Mature dark berry, crushed blue flower, spice and peppermint aromas lead the nose on this structured red. The firm palate offers ripe black cherry, white pepper, cocoa, star anise and a balsamic note accompanied by bracing tannins. Drink 2018–2016.",Ascheri
985,Valdubón,Spain,90,"Cherry and plum aromas are accented by buttery oak, leather and animal notes. Solid in feel with firm tannins, this warm-vintage Tempranillo is ripe, loamy and loaded with berry and cassis flavors. A lightly raisiny finish is friendly and round. Drink through 2019.",Reserva
986,Vietti,Italy,90,"Aromas of wild berry, dark spice, menthol and a hint of pressed flower lead the way on this straightforward Barolo. The full-bodied palate offers dark cherry, licorice and dried herb alongside firm, ripe tannins. Drink 2018–2026.",Castiglione
987,Dalrymple,Australia,90,"This is strongly marked by new oak on the nose at this stage, suggesting toast, brown sugar and coffee, but fruit comes through on the palate where hints of dark berries, cola, clove and cinnamon mingle. The wine is creamy and lush in texture, with ample weight and a lingering finish of dried fruit, vanilla and mocha. Drink from 2018 to 2025.",Coal River Valley Single Site
988,Antiquum Farm,US,90,"One of the most beautiful package designs in the state introduces a fresh and toasty wine that translates this cool, wet vintage into a most delicate and enjoyable bottle of Pinot. Light cranberry and cherry fruit is set in a gently proportional bed of tart acid and pretty oak, 40% new.",Juel
989,Argyle,US,90,"Clean, crisp and bright, this was fermented in stainless (with just 10% in neutral wood), and not put through malolactic. The blend is 60/40 Chardonnay/Pinot Noir, yielding fresh fruit flavors of apple and melon that are focused and precise. A streak of ginger runs through racy acidity.",Vintage Brut
990,Marcello Turra,Italy,85,Aromas of mature yellow apple and a whiff of chamomile flower lead the nose. The aromas carry over to the extremely ripe palate along with a hint of acacia and a marked note of bitter almond.,
991,Auspicion,US,85,"Smoky, toasted oak aromas lead to strong char and butter flavors and a viscous texture that clings to the palate. Subtlety is not one of this wine's virtues, as its outsized flavors stand in stark relief.",
992,Carmel,Israel,85,"A clean nose of citrus paves the way for flavors of grapefruit and Sevilla orange. This wine is soft and pleasing on the palate, but it may be touch tart for some tastes.",Admon Vineyard
993,Caves Campelo,Portugal,85,"With its typical prickle on the tongue, this is a medium sweet wine. It's clean, crisp and citrusy, with sliced apple and orange zest flavors. Drink now.",Campelo
994,Caves Campelo,Portugal,85,"Lightly spritzy, this tastes of crisp apple and finishes just off-dry. It's deliciously refreshing, bright and tangy. Drink now.",Miranda
995,Adega Cooperativa do Cartaxo,Portugal,85,"This is a dry sparkling wine with tannins, spice and berry fruit, giving it a deep color. Not an apéritif wine, it's perfect for cutting through rich, oily foods. Drink now.",Plexus Tinto
996,Adega de Cantanhede,Portugal,85,"This is a soft, creamy wine with fruitiness and a yeasty edge. Made from Bical, Arinto and Maria Gomes, it's ready to drink.",Blanc de Blancs Bruto
997,Domaine de l'Herré,France,85,"This is a soft wine whose herbal character is held in check by a smooth texture. It is bright and crisp, with plenty of citrus and gooseberry flavors as well as intense acidity. The wine is ready to drink.",La Galope
998,Domaine du Touja,France,85,This white wine is fruity and crisp with a deliciously refreshing herbal edge. Lemon and pink grapefruit are cut by some zingy acidity and finished with a bright aftertaste. Drink now.,
999,Proemio,Argentina,85,"Dusty plum and berry aromas are clean. In the mouth, this is hard and wiry. Salty snappy plum flavors dry out and taste a bit like tin on a raw finish.",
1000,Quinta da Lapa,Portugal,85,"This yeasty wine is bone-dry, mature and ready to drink, a toasty element having replaced any fruitiness. The aftertaste is crisp and bright.",Brut Nature Reserva Arinto
1001,Vin Vault,US,85,"Buttery aromas and buttery, spicy flavors lend an outgoing personality to this medium-bodied wine. Vanilla and cream flavors add some interest, while the texture is broad and smooth.",
1002,The Naked Grape,US,85,A soft mouthfeel and fresh golden delicious apple flavors make this light-bodied wine easy on the palate. It has crisp and clean flavors all the way through.,
1003,Global Wines,Portugal,85,"With hints of minerality typical of any wine from the Dão, this has tight, yeasty notes that contrast with its crisp, bright apple fruit. Drink now.",Cabriz Bruto
1004,Global Wines,Portugal,85,"This wine balances swathes of ripe berry fruit with hints of tannin. It's fruity, full bodied and delicious to drink now. A great barbecue wine.",Cal Monte da Cal
1005,Global Wines,Portugal,85,"This is a classic style of Bairrada sparkling wine—a blend of Bical, Maria Gomes and Arinto. Plenty of crisp acidity and soft white fruit flavors balance its yeasty character. Drink now.",Encontro Q do E Blanco Bruto Classico
1006,Vergelegen,South Africa,85,"Surprisingly shy and reserved in nature, this offers subtle aromas and flavors of apple core and spiced orange peel. Soft and accessible, it's direct and clean, yet short on the finish. Drink now.",
1007,Bodega Renacer,Argentina,85,"A mix of blueberry, plum and animal aromas leads to a wiry, clipped palate fueled by tartaric acid. Lightly salted plum flavors are slightly jammy, while a blueberry note is brought back on the finish.",Punto Final MLB
1008,Essay,South Africa,85,"Bright aromas of tart apple, melon rind and fresh chrysanthemum dance in the bouquet, while the lively, lightweight palate offers notes of white peach and citrus pith. A subtle astringency graces the close. Drink now.",
1009,Ogier,France,85,"This is a plump, broad southern Rhône white, offering subtle notes of melon, pear and wet stones. Drink it before the end of 2017 while it still retains some freshness.",Héritages
1010,Charles Krug,US,85,"This dense, rich and ripe varietal Cabernet Sauvignon is aged in new French oak for 19 months. It shows smoked meat and bacon flavors that last into the finish.",Limited Release X Clones
1011,Noble Hill,South Africa,85,"Soft hints of peach, verbena and peony grace the delicate nose of this lightweight white. Touches of green banana and pear flesh out the palate, while ample acidity keeps the mouthfeel fresh through the finish. Drink now.",
1012,Château Clément Termes,France,85,This wine's blend symbolizes the Tarn's halfway position between the Atlantic and the Mediterranean. So it is has the perfumed Syrah and the more structured local Braucol to give a bright fruity wine with some touches of tannin as well as red-berry fruits. Drink now.,Les Petits Clément Syrah Braucol
1013,Domaine de Grange Neuve,France,85,A dry wine with a soft texture that suggests a small amount of residual sugar. It is a fruity wine with apricot and ripe pear flavors and a smooth aftertaste that still leaves plenty of room for acidity. Drink now.,La Fleur Lily Semi-Dry
1014,Domaine de l'Herré,France,85,"Produced in the west of Gascony, with a strong oceanic influence, this Chardonnay is cool, fruity and with bright acidity. It does have a creamy texture that fills out the fruitiness. It is an attractive, ripe wine that is ready to drink.",La Galope
1015,Herdade do Esporão,Portugal,85,"A wine for early drinking, this is soft, fruity and bright. With red berry flavor and gentle tannins, it's direct and packed with fruitiness. Drink now.",Pé Tinto
1016,Global Wines,Portugal,85,"A soft and easy wine with black currant fruit and gentle tannins, this has just enough acidity and structure to hold it together. Spice adds interest on the finish. Drink now.",Monte da Cal Colheita Seleccionada
1017,Pierre Gruber,France,85,This gentle blend of Aligoté and Chardonnay shows yellow fruit flavors. It has a crisp edge to its round smoothness. Drink now.,
1018,Thomas George,US,85,"From four estate vineyards, this wine appears to be low in oak and extra crisp in mouthfeel, offering austere apple and citrus elements with a slight metallic edge.",
1019,Tinazzi,Italy,85,This informal white opens with whiffs of orchard fruit and citrus while the simple palate offers suggestions of pear and pineapple. A hint of bitter almond marks the rather lean abrupt finish.,Cà de' Rocchi
1020,Weingut Georg Albrecht Schneider,Germany,91,"Pretty floral and apricot aromas brighten savory apple notes on this dry, but intensely honeyed Riesling. Bright and brisk on the palate, with searing lime acidity, it finishes long, with a refreshing spray of green herbs.",Niersteiner Hipping vom Rottligenden  Spätlese Trocken
1021,Anam Cara,US,91,"The Mark VI (similar to the above Heather's Vineyard) is a sort of reserve reserve, this one from barrels chosen to showcase the most cellar-worthy aspects of the vintage. It succeeds nicely, delivering a solid, firm, tart wine with young raspberry and cherry fruit at its center. The tannins have a lightly herbal, leafy streak, and there's little doubt this will benefit from additional years in the cellar.",Mark VI
1022,Vie di Romans,Italy,91,"This intriguing blend combines the structure of Chardonnay with the crushed tomato vine and cantaloupe aromatics of Sauvignon. The rich palate delivers a lovely depth of ripe apple, creamy lemon, and melon flavors, layered with hints of exotic fruit and spice.",Dut'Un
1023,Thistle,US,91,"A lovely, fresh, fruit-forward Pinot, it's flush with flavors of plums and cherries as it fills the palate. It gains power and mass with dark, slightly charred flavors of espresso wrapped into the finishing tannins.",
1024,Trenel Fils,France,91,"This solidly structured wine shows the firm tannins and mineral structure typical of wines from Côte du Py. It has dense black cherry fruits along with sacidity that cuts through the structure. It could age another year, but is worth drinking now.",Côte du Py
1025,Wines & Winemakers,Portugal,91,"This rich wine has a dense core of dark, dry tannins. The fruit, still taking its time to come through, is full of dark plum flavors and will soon show a fresher acidity. Wood aging, dark chocolate and a smoky character all bode well for the future. Drink from 2016.",Companhia daz Lezirias Reserva Tinto
1026,Wines & Winemakers,Portugal,91,"This rich, sophisticated wood-aged wine has complex fruits, structure and tannins. Ripe, juicy black fruits are intertwined with a solidly dry texture, powerful but still elegant. It will repay aging. Drink from 2016.",Monte da Baía Reserva
1027,Wines & Winemakers,Portugal,91,"A rich wine that is made by the Abreu Callado charity foundation. It has dark black currant fruits, big tannins and an elegant feel. With its structure, minerality and ripe, juicy fruitiness, it is finely structured and ageworthy. Drink from 2017.",Abreu Callado Reserva
1028,McIntyre Vineyards,US,91,"You can criticize this as being too full-bodied for a Pinot Noir. Some will find it Grenache-like, with its lush, jammy flavors of cherries, raspberries and oak. But what can't be denied is how delicious it is. The fruitiness, acidity and tannins suggest pairing with charbroiled lamb chops or steak. Drink now–2020.",Estate 25th Anniversary
1029,Palmeri,US,91,"Palmeri has a good history with Syrah, and this 2011 is right up there. With rich, complex blackberry and blueberry jam, cassis, salted grilled beef, black pepper and smoky oak flavors, it is sophisticated enough to drink with upscale fare. It should age well through 2020.",Van Ness Vineyard
1030,Quinta do Portal,Portugal,91,"A powerfully tannic wine, full of the mineral texture and dark structure of a fine Douro wine. It has rich berry and plum skin flavors with underlining from acidity. The tannins, still young, promise aging. Drink from 2017.",Reserva
1031,Quinta Nova de Nossa Senhora do Carmo,Portugal,91,"Already impressive, this wine is rich and packed with tannins and fruit. The structure gives a dry core that is cushioned by the sweet blackberry fruit flavors. The end shows the tannins again, along with fresh acidity, both suggesting aging. Drink from 2016.",Reserva
1032,Emil Reichart,Germany,91,"Dried herbs accent notes of lemon and apple on this concentrated off-dry Riesling. The palate builds in intensity, with juicy flavors of peach and tangerine glazed with streaks of honey and wax. The finish is long, with bristling lemon-lime acidity.",Single Vineyard Series Spätlese
1033,Casal da Coelheira,Portugal,91,"With a significant proportion of Cabernet Sauvignon in the blend, this is a solid, tannic wine. It is also rich, complex and fruity. Fermentation in open lagares gives extra fruitiness, soft extract and great acidity. Drink from 2017.",Mythos
1034,Château Quinault L'Enclos,France,91,"A very ripe wine with a velvet texture, cut with acidity and wood aging flavors. There is fine concentration, with delicious, juicy Merlot giving a ripe feel. It presents a fresh aftertaste, with the black currant fruit giving a lift to the more tannic structure. Drink from 2017.",
1035,Domaine de Leyre-Loup,France,91,"A perfumed wine, it has structured black fruits and a solid texture. It is rich, showing complexity through its tannins along with acidity and fruitiness. Still surprisingly young to taste, it should not be drunk until 2015.",Réserve Louis Leyre-Loup
1036,Grafen Neipperg,Germany,91,"Whiffs of blackberry, bramble and granite seduce throughout this concentrated, brawny Lemberger. The palate is lush, with ripe plum and black cherry flavors anchored by brooding minerality and a bite of firm tannins on the finish. It's lovely now, but should reveal more complexity with 5–7 years in the cellar.",Trocken
1037,Koyle,Chile,91,"Dark berry, shoe polish and lemony oak are at the center of the bouquet on this blend of Malbec, Cabernet Sauvignon, Syrah and Petit Verdot. The palate feels rich to the point of syrupy, while the flavor profile offers a condensed, jammy mix of wild berries, wood, herbs, chocolate and coffee. Additional herbal notes along with spicy flavors carry a thick finish to its conclusion. Drink through 2018.",Auma Los Lingues
1038,Maquis,Chile,91,"Black-plum and apple-skin aromas are fruity and a bit raw. In the mouth, this blend of Cabernet Franc, Syrah, Carmenère and Petit Verdot is full, properly tannic and loamy in feel. Dark-leaning flavors of licorice, peppery spice, chocolate and herbs finish with classic Chilean notes of black olive and tobacco. Drink through 2019.",Lien
1039,Olivini,Italy,91,"Still youthful, it shows aromas of fragrant white flowers, stone fruit and pear. The juicy, lively palate delivers golden apples, yellow peach, almond and hints of aromatic herbs alongside fresh acidity. It boasts balance and finesse. Drink now through 2016.",Demesse Vecchie
1040,Anam Cara,US,91,"This is a lovely, balanced wine, combining grip, texture and elegant details. It starts with clean fruit flavors of berry and cherry, bringing in delicate notes of root beer, vanilla and clove. There's a suggestion of brine also, the whole delivering marvelous complexity.",Heather's Vineyard
1041,Von Siebenthal,Chile,91,"An intriguing, well-made wine, it conveys saucy red-fruit aromas that come with notes of raw oak, leather and herbs. It smacks the palate with hard tannins and raw verve, while flavors of vanilla, mocha, licorice and berry fruits finish crisp and woody. Drink through 2017.",Toknar
1042,Campo di Sasso,Italy,91,"This delicious blend of Syrah, Cabernet Franc, Merlot and Petit Verdot opens with aromas of ripe black fruit, berries, tilled soil, blue flower and spice. The concentrated palate delivers fleshy black cherry, red currants, black pepper and graphite alongside smooth tannins. The long finish closes on a licorice note.",Insoglio del Cinghiale
1043,Emilio Moro,Portugal,91,"Made by a Spanish bodega with grapes from the Portuguese Douro, this is a sophisticated Douro wine that has a smooth, ripe texture underpinned with dry tannins. Now mature, it's very elegant. Drink now.",Drink & Dream D+D
1044,Failla,US,91,"Right out of the bottle, this wine is tannic and closed. After a while in the glass, it starts to soften, showing mushroom, cola, pomegranate and raspberry flavors, but it's still resistant. Give it until 2018, and it should gradually unfold for another few years afterward.",Keefer Ranch
1045,Fiuza,Portugal,91,"This sophisticated wine is full of rich, beautifully integrated tropical and citrus fruits enhanced by an elegant use of wood. It feels rich, sumptuous and concentrated, while allowing for good acidity at the end. Drink from 2015.",Ikon
1046,Herdade das Servas,Portugal,91,"A big, ripe wine, it shows richness from the superripe grapes. It is bold, full-bodied and packed with juicy black fruits. It's like a fruit bomb, but structure holds it together. Drink from 2015.",Reserva
1047,Herdade de São Miguel,Portugal,91,"At this stage, this wine is dominated by wood. The black fruits underneath will take their time to bring together a wine that will show great perfumes, flavors of mushroom and truffles, and a dense texture. The aftertaste already has some of the right juicy acidity. Drink from 2017.",Ciconia
1048,José Maria da Fonseca,Portugal,91,"This wine is just starting out. With its initially austere structure and firm tannins, the juicy fruitiness and mineral character are still waiting to emerge. It will be a serious and structured wine in the next few years, evoking the granite of the Douro. Drink from 2016.",Domini
1049,La Follette,US,91,"You can call this Pinot thin, or you can call it elusive. While it does show the lean profile of the 2011 vintage, it's quite complex, offering high acid-inspired flavors of raspberry sour candy, chamomile tea and cranberries, plus minerally, dried herb complexities. Drinking through 2020.",Van Der Kamp Vineyard
1050,460 Casina Bric,Italy,88,"Closed cellar aromas burn off to reveal black fruit, baking spices and balsamic notes. The palate is subdued, showing raw cherry-berry, cooking spices and herbs alongside nervous acidity and astringent tannins.",Bricco delle Viole
1051,Anna Maria Abbona,Italy,88,"This earthy Barolo has funky sensations of game, meat juices, oak, vanilla, spice and ripe black berry fruit. The warm midpalate and sweet fruit are balanced by tightly packed, astringent tannins that leave the mouth feeling dry. Drink after 2020.",
1052,River's Edge,US,88,"Pale in color, it has pleasing aromas that mix fruit and barrel with notes of cinnamon, cherry and sarsaparilla. The palate is medium bodied with the oak (30% new French and American) getting just a bit out front of the fruit flavors.",
1053,Robert Mondavi,US,88,"Complex and grippy, it offers classic layers of spicy black pepper, clove and red cherry and plum fruit. Not overpowering on the palate or in price, it will pair with flair.",
1054,Stoller,US,88,"This offers fresh fruit flavors of watermelon and strawberry. Delicate and flavorful, it's perfect for sipping on your porch, deck, boat or simply while picnicking.",Rosé
1055,Tarara,US,88,"Ripe and fragrant, this offers delineated scents of cherry pie filling, raspberry, rose and dillweed. It's lithe and succulent, with polished lines and plenty of charm.",
1056,The Williamsburg Winery,US,88,"Medium to full in weight, it offers sleek acids and highly buffed tannins. Subdued notes of charred herb, dark cherry and tobacco give character to this blend of 42% Cabernet Franc, 30% Merlot, 28% Petit Verdot.",Adagio
1057,Trapiche,Argentina,88,"This is lightly perfumed with green melon, lychee and papaya aromas. The palate is middle of the road in terms of acidity and snap. Flavors of lychee, peach and nectarine are typical of the variety, while the finish is plump and smooth.",Broquel
1058,V. Sattui,US,88,"Dark and viscous, this blends 65% Cabernet Sauvignon with 26% Merlot and 5% Petit Verdot. All settle into a high percentage of new French oak, which lends the wine a brawny, savory leather mouthfeel. The flavors tend toward olive, black pepper and cedar, a powerhouse in all.",Paradiso
1059,Verum,Argentina,88,"Smooth, earthy, lightly herbal aromas are balanced by fresh red-berry notes. This feels racy and lean in the mouth, with nothing fat or grabby getting in the way of steady raspberry, plum and herbal flavors. A note of olive and leafy green rises up on the finish.",Reserva
1060,Vinha Paz,Portugal,88,"The wines has concentration, while also having rich, smooth fruits that exude blackberries, fresh acidity and just the right amount of wood to give complexity.  It's firm, but ready to drink.",Colheita
1061,Vini,Bulgaria,88,"This dark cherry-red wine has aromas of red plums and dried black plums that flow to the palate. An easy drinking wine, with pleasantly tart cherry flavors.",Veni Vidi Vici
1062,Winery by the Creek,US,88,"This grape variety originated in Spain and is also popular in the southern Rhône Valley of France. In this bottling, smoky, chocolaty aromas lead to blackberry and dark cherry flavors, a broad, generous texture and moderate tannins. It's rather big in structure but not heavy.",
1063,Natale Verga,Italy,88,"It opens with aromas of forest floor, porcini mushroom and espresso. The straightforward palate offers bright berry, coffee and grilled herbs alongside firm tannins. Drink 2015–2020.",
1064,Quara,Argentina,88,"Quara makes good, true Cafayate Torrontés. Aromas of lychee, citrus, tropical fruits and bath oils are vital. This remains solid and clean, with upright acidity. Lime, mango, lychee and banana flavors finish round, with just enough acidity to maintain the wine's character. Drink immediately.",Estate Bottled
1065,Losada,Spain,88,"While 2010 was a great vintage in most of Spain, parts of Bierzo had a mildew problem and thus some wines are less than fully ripe. This seems to be a case in point; it's scratchy on the nose, with a sinewy, drawing mouthfeel that's only partly covered up by oak. Prickly berry and black cherry flavors finish tight, with scraping tannins. Drink now with meat or cheese.",
1066,Heggies Vineyard,Australia,88,"Hints of lemon curd and struck flint emerge from they lass, while the palate reveals flavors of apple, pear and citrus. With its pared-back flavors and restrained nature, this medium-bodied Chardonnay should prove versatile at the table. Drink now–2016.",
1067,North Gate,US,88,"The scents of humus, spiced blackberry and char are deep, delineated and balanced. Fine-grained tannins and lifting acids unfurl across the poised palate, and the long finish concludes with black raspberry and vanilla notes.",
1068,Bibich,Croatia,88,"This Croatian white has delightful aromas of pineapple, tropical fruits and fresh cut honeycomb. It's round and generous in the mouth, with flavors of guava and lime rind that lead in to the clean, astringent finish.",P9
1069,Castle Rock,US,88,"The somewhat light red-purple color does not mean that this medium-bodied wine lacks flavor. Toasty, smoky, caramel aromas from oak carry over to the bold and almost sweet flavors, powering over moderate raspberry and plum undertones.",
1070,Château Peugeais,France,88,"This rich wine offers spice and black plum fruit flavors in equal measure. It's certainly ripe, but a fresher character adds lift. Tannins are already well-integrated into this velvet-textured wine. Drink from 2017.",
1071,Cramele Halewood,Romania,88,"Aromas of cherry, raspberry and a whiff of mint lead to flavors of dried cherry, raspberry and strawberry in this easy quaffing Pinot Noir.",La Umbra
1072,Deep Sea,US,88,"A complex nose emerges as this wine opens up with chalk, soda, lemon and lime pith. The scents go well with the ocean breezes at Deep Sea's tasting room on Santa Barbara's wharf. It's lean on the palate, with lime throughout and a bit of papaya on the end.",
1073,Domaine Vacheron,France,88,"The ripe and fruity style typical of Vacheron wines is evident here. Citrus flavors are given a rich fillip by yellow fruits and a rounded, full texture. Touches of minerality and youthful acidity are already well integrated into the body of the wine. Drink in 2015.",
1074,Robert Mondavi,US,88,"Inviting in tropical aromas of guava and pineapple, it smells sweet but drinks dry, balanced in melon and high-toned citrus, just a hint of grass on the finish.",
1075,Roger et Didier Raimbault,France,88,"This is a fresh, lemony wine, crisp and steely. A richer element rounds out the tight texture and acidity. Lively and fruity, it will be ready to drink in 2015.",Eclat de Fraîcheur
1076,Sarotto,Italy,88,"Sweet vanilla, oak, espresso, coconut and plum aromas lead the nose and carry over to the palate. The sugary vanilla and toasted oak flavors mask the Nebbiolo purity, while bracing tannins leave the mouth feeling dried out.",Audace Riserva
1077,Schug,US,88,"It offers an imprint of spearmint, dill and black cherry fruit, a modicum of tannins and a soft side, the aroma replete in rose petals. On the finish expect a darker influence of tobacco and oak.",Heritage Reserve
1078,Simone Scaletta,Italy,88,"Aromas of ripe plum, rose petals, cake spices and toasted oak lead the nose on this structured wine. The rich palate opens with a burst of dark cherry fruit followed by accents of roasted coffee bean, espresso, and vanilla. The succulent midpalate is cut short by astringent wood tannins that leave the mouth feeling dried out.",Chirlet
1080,Sevtap,US,87,"Very rich aromas of cherry, blueberry syrup and hot blackberry jam-filled pastry greet the nose. So the sour cherry and tart cranberry flavors are surprising on this medium-bodied wine, which also picks up interesting peppery notes into a lingering finish.",Nola
1081,Sevtap,US,87,"The nose on this wine by oil worker-turned-winemaker Ert Sevtap offers lifting aromas of blueberry and mint. The spearmint notes carry to the palate as well, which also shows blackberry fruit and roasted beef meatiness.",Zig-A-Zig-Ahh
1082,Sheldrake Point,US,87,"A touch of caramelized sugar lingers from nose to finish on this brisk wine, melding into layers of white peach, caramel and cream. It's light in body, but the mouthfeel is surprisingly round and rich. The finish is zesty and bright.",
1083,Thurston Wolfe,US,87,"With all of the fruit hailing from Zephyr Ridge Vineyard, this wine is lighter in color, with suggestions of ash, cigar box, vanilla, coffee and red fruit. It's soft in feel, flavorful yet still quite deft. Good acidity backs it all up, finishing warm.",Howling Wolfe
1084,Wilridge,US,87,"Aromatically intriguing, this carries suggestions of sour cherry, umami and fresh tobacco. The palate brings medium-bodied cranberry and cherry flavors. It doesn't have the tannic structure that this variety is known for but there is still plenty to enjoy.",Estate
1085,Wölffer,US,87,"Prominent streaks of spice, toast and smoke persist amidst tart black cherry and cassis flavors in this full-bodied wine. Pomegranate acidity is bracing on the midpalate, accentuating a slightly brusque finish.",Cassango
1086,Finca Hispana,Spain,87,"Briary plum and cherry cough-drop aromas give way to a crisp, fairly full palate with chewy tannins. Plum and peppery spice flavors are kept simple, while this finishes with some dark-berry character and a touch of bitterness.",Cuvée
1087,Château Chantemerle,France,87,"Ripe Cabernet gives this wine a great start in life. Juicy black currant is underpinned by the wood aging and tannins, giving a wine that is fruity while still structured. Drink from 2017.",
1088,Château de Bensse,France,87,"While the wine has plenty of the tannins typical of 2011 at this stage, it also has ripe fruit, full of blackberry and currant flavors. The balance is already there, giving a potentially rich, juicy and generous wine. Drink from 2017.",
1089,Chateau Lafayette Reneau,US,87,"Swathes of fresh tarragon lend a green, herbal tone to cassis and black plum flavors in this pretty wine. Penetrating, grippy tannins are jolting on the finish, underlining a tight, brisk finish.",
1090,Château Lalaudey,France,87,"Powerful and structured, this has dense tannins that will always be an important part of the wine. The juicy, fresh fruit gives a perfumed character to the wine and brings out acidity as well as the dry texture. It needs to age, so drink from 2018.",
1091,Château Mancèdre,France,87,"This firm and dry wine is also full of acidity. A juicy start is then given a firm jolt by the tannins, but the complex structure allows plenty of room for the bright fruits. Drink from 2018.",
1092,Château Peyfaures,France,87,"Fresh and juicy, this full-bodied while structured wine comes from the heart of the Entre-deux-Mers region, which gives the fruitiness and blackberry fruit flavors. It will develop quickly and can be drunk from 2016.",
1093,3 Horse Ranch Vineyards,US,87,"This moderately aromatic wine conveys Red Hots, baking spices and red fruit. It's on the lighter side of medium bodied, soft yet full of drawn-out blue-fruit flavors on the finish.",Single Vineyard
1094,Balo,US,87,"With aromas and flavors reminiscent of apple skin, peach skin, white pepper and pomegranate seed, this tastes crisp, tangy, slightly bitter, and has great bright acidity. It is light to medium bodied and made from 100% whole-cluster-pressed Riesling that was fermented in a combination of older oak barrels and stainless steel vessels.",
1095,Byron,US,87,"Toffee, cinnamon apples and a hefty swirl of smoke arise on the nose from the winery's entry-level bottling. The palate shows caramelized pears, nicely bitter lemon rinds and warm, buttered nut toffee note that carries from first sip to the finish.",
1096,Giorgio Meletti Cavallari,Italy,87,"A blend of 60% Vermentino and 40% Viognier, this presents a delicate fragrance of honeysuckle and stone fruit. The bright palate offers creamy white peach and tangerine, with a candied ginger note on the close.",Borgeri
1097,Gundlach Bundschu,US,87,"An unidentified mix of Cabernet Sauvignon and Merlot sourced from throughout the county, this is a smoky, leathery expression of sanguine black and red fruit that's approachable and easygoing. The finish has a bittersweet note of chicory.",Mountain Cuvée
1098,Kitchen Sink,US,87,"Subdued is a good way to describe this light-bodied white made from Chardonnay, Chenin Blanc and Gewürztraminer. It has subtle aromas of honey and flowers, fresh but quiet peach flavors and a soft texture.",
1099,Heron Hill,US,87,"While spry and dry in style, fragrant apricot and orange blossom notes lend flair to this light-bodied wine. Tangerine acidity is bright and concentrated on the palate, leading to a swift, pert finish.",Hobbit Hollow Farm Dry
1100,Chateau Ste. Michelle,US,87,"Coming from the cool 2011 vintage this wine offers a blue-fruit profile seldom seen in the state for this variety along with notes of chocolate and coffee. It's elegantly styled with a soft feel, trailing toward the finish.",Cold Creek Vineyard
1101,Château Vieux Moulin,France,87,"This concentrated, structured wine has an earthy quality, typical of some Listracs, along with a more juicy, fruity character that's boosted by acidity. Balanced, it will age over the medium-term. Drink from 2017.",
1102,Murrieta's Well,US,87,"Fresh apple aromas and lively citrus flavors make a good combination in this light-bodied, tangy-textured wine. It tastes slightly rounded with sweetness, but comes off clean, crisp and appetizing. The two main components are Sémillon and Chardonnay, with dashes of Sauvignon Blanc and Orange Muscat.",The Whip
1103,Northstar,US,87,"This wine is predominantly Merlot (83%) along with Cabernet Sauvignon (9%) and Syrah (2%) all from Anna Marie Vineyard, with Cabernet Franc from Minnick Hills and Petit Verdot from StoneTree Vineyard. Pleasing aromas suggest blueberry, milk chocolate and high-toned herbs. It's elegantly styled with light blue-fruit flavors, at times seeming a bit faint.",
